name,Pace,Categories,Labels,Specific,Orignal name,,original codec,original resolution,original bit rate,original frame rate
1,Medium,Human,Daily,Show,20to26myth,,H.264,1280 × 720,1488,30
2,Fast,Artifact,,Medicine,160714_Pills_4_1080p,,H.264,1920 × 1080,35921,25
3,Slow,Human,Sport,Fishing,161212_077_Vietnam_1080p96fps,,H.264,1920 × 1080,42316,25
4,Medium,Human,Daily,Street,170111_053_Tokyo_BusyStreetNight_1080p,,H.264,1920 × 1080,32538,25
5,Slow,Nature,Geography,Stream,170216A_120_RiverInForest3_1080p,,H.264,1920 × 1080,37175,25
6,Slow,Human,Daily,BackView,170216A_141_WomanWatchingWaterfall_1080p,,H.264,1920 × 1080,36397,25
7,Slow,Nature,Geography,Waterfall,170216B_176_WaterfallInJungle2_1080p,,H.264,1920 × 1080,38852,25
8,Slow,Nature,Plant,Sakura,170411A_05_Blossom_1080p,,H.264,1920 × 1080,26786,25
9,Medium,Human,Daily,Park,170411A_23_Blossom_1080p,,H.264,1920 × 1080,31683,25
10,Slow,Nature,Plant,Orange,170422B_039_LemonTree_1080P,,H.264,1920 × 1080,33131,25
11,Medium,Artifact,,Temple,170609_A_Delhi_070_1,,H.264,1920 × 1080,41301,50
12,Slow,Artifact,,Building,170609_B_DelhiJamaMasjid_055,,H.264,1920 × 1080,37142,25
13,Slow,Animal,,Monkey,170609_F_Varanasi_050,,H.264,1920x1080,25986,25
14,Medium,Animal,,Monkey,170609_F_Varanasi_051,,H.264,1920x1080,36846,50
15,Medium,Artifact,,Flag,170728_Berlin_D_002,,H.264,1920x1080,42635,25
16,Medium,Human,Daily,Walking,171124_A1_HD_021,,H.264,1920x1080,33319,25
17,Medium,Human,Daily,Walking,171124_B1_HD_006,,H.264,1920x1080,37676,25
18,Medium,Human,Daily,Street,180301_09_A_KowloStreets_08,,H.264,3840x2160,39933,25
19,Slow,Artifact,,City,180301_22_B_Timelapses_11,,H.264,1920x1080,33535,25
20,Medium,Nature,Universe,Earth,506401051_1,,H.264,1280x720,14091,25
21,Slow,Nature,Plant,Flower,Autumn - 1990,,H.264,1280 × 720,4548,23.98
22,Medium,Nature,Geography,Island,Beach - 3998,,H.264,1280 × 720,2459,25
23,Medium,Nature,Geography,Coast,Coast - 1270,,H.264,1280 × 720,2486,25
24,Medium,Human,Daily,Speech,DLP_PART_2_768k,,mpeg4,400x300,217,29.97
25,Fast,Animation,,Canyon,dolbycanyon,,mpeg4,720x480,264,29.97
26,Slow,Nature,Weather,Sunset,Glass Ball By The Shore,,H.264,1920 × 1080,4505,29.97
27,Medium,Nature,Plant,Grape,Grapes_1Videvo,,H.264,1920 × 1080,15465,25
28,Fast,Animation,,Incredibles 2,incredibles-2-trailer-1_h720p,,H.264,1280x544,4626,23.98
29,Fast,Animation,,Incredibles 2,incredibles-2-trailer-2_h1080p,,H.264,1920x816,9348,23.98
30,Fast,Nature,Universe,Meteor,grb_2,,mpeg4,720x480,287,29.97
31,Fast,Animation,,Earth,hd0924,,H.264,1920 × 1080,10269,30
32,Slow,Nature,Geography,Coast,High Angle Shot Of A Beautiful Island,,H.264,1920 × 1080,4176,
33,Slow,Artifact,,CuriseShip,Hong Kong - 2849,,H.264,3840x2160,29728,29.97
34,Medium,Animation,,Countdown,OldFashionedFilmLeaderCountdownVidevo,,H.264,1920 × 1080,14333,24
35,Medium,Nature,Geography,Forest,Forest_15_4_Videvo,,H.264,1920 × 1080,50285,25
36,Fast,Human,Sport,Suring,Man Surfing,,H.264,1280 × 720,2495,30
37,Fast,Human,Daily,Shoping,New Taiwanese Bubble Tea Shop With Flavoured Pearls ? Playmade,,H.264,1280 × 720,1251,30
38,Fast,Artifact,,Street,New York City Buildings-H264 75,,H.264,1280 × 720,7850,50
39,Medium,Human,Sport,Dance,P6090053,,mpeg4,340x240,233,12.5
40,Slow,Animation,,Eyeball,page18-movie-4,,mpeg4,480x270,425,25
41,Slow,Artifact,,Toy,Panasonic_HDC_TM_700_P_50i,,mpeg4,1920 × 1080,1781,25
42,Slow,Nature,Geography,Sea,Pexels Videos 2567,,H.264,1920 × 1080,4579,24
43,Fast,Artifact,,Traffic,Run_5_wo_metadata_h264420_720p_UHQ,,H.264,1280 × 720,20583,23.98
44,Medium,Artifact,,SpaceStation,sample-Elysium.2013.2160p,,H.265,3840x1606,51036,23.98
45,Medium,Animation,,BigBuckBunny,SampleVideo_320x240_20mb.,,MPEG-4 ,340x240,395,25
46,Medium,Animation,,BigBuckBunny,SampleVideo_320x240_30mb,,mpeg4,320x240,389,25
47,Slow,Nature,Geography,Coast,Pexels Videos 2650,,H.264,320x240,4333,25
48,Medium,Animation,,BigBuckBunny,SampleVideo_360x240_30mb,,H.264,320x240,1018,25
49,Slow,Nature,Geography,Coast,Pexels Videos 2662,,H.264,1920 × 1080,4389,23.98
50,Slow,Human,Sport,RideMotorcycle,Pexels Videos 3367,,H.264,1920 × 1080,4429,30
51,Medium,Nature,Weather,Thunderstorm,Rain - 305,,H.264,1920 × 1080,4540,30
52,Medium,Animation,,Incredibles 2,Islands - 2119,,H.264,1920 × 1080,1058,24
53,Slow,Nature,Geography,Island,Islands - 2119,,mpeg4,1920 × 1080,3386,29.97
54,Slow,Animal,,Jellyfish,jellyfish-25-mbps-hd-hevc,,H.264,1920 × 1080,3096,23.98
